lines/a01/a01-000u/a01-000u-00.png|A MOVE to stop Mr. Gaitskell from
lines/a01/a01-000u/a01-000u-01.png|nominating any more Labour life Peers
lines/a01/a01-000u/a01-000u-02.png|is to be made at a meeting of Labour
lines/a01/a01-000u/a01-000u-04.png|put down a resolution on the subject
lines/a01/a01-000u/a01-000u-06.png|Griffiths , M P for Manchester Exchange .
lines/a01/a01-000x/a01-000x-00.png|A MOVE to stop Mr. Gaitskell from nominating
lines/a01/a01-000x/a01-000x-01.png|any more Labour life Peers is to be made at a
lines/a01/a01-000x/a01-000x-02.png|meeting of Labour 0M Ps tomorrow . Mr. Michael
lines/a01/a01-000x/a01-000x-03.png|Foot has put down a resolution on the subject
lines/a01/a01-000x/a01-000x-04.png|and he is to be backed by Mr. Will Griffiths ,
lines/a01/a01-000x/a01-000x-05.png|0M P for Manchester Exchange .
lines/a01/a01-003/a01-003-00.png|Though they may gather some Left-wing support , a
lines/a01/a01-003/a01-003-01.png|large majority of Labour M Ps are likely to
lines/a01/a01-003/a01-003-02.png|turn down the Foot-Griffiths resolution . Mr.
lines/a01/a01-003/a01-003-03.png|Foot's line will be that as Labour M Ps
lines/a01/a01-003/a01-003-04.png|opposed the Government Bill which brought
lines/a01/a01-003/a01-003-05.png|life peers into existence , they should not
lines/a01/a01-003/a01-003-06.png|now put forward nominees . He believes
lines/a01/a01-003/a01-003-07.png|that the House of Lords should be abolished
lines/a01/a01-003/a01-003-08.png|and that Labour should not take any steps
lines/a01/a01-003/a01-003-10.png|institution .
lines/a01/a01-003u/a01-003u-00.png|Though they may gather some Left-wing
lines/a01/a01-003u/a01-003u-01.png|support , a large majority of Labour
lines/a01/a01-003u/a01-003u-02.png|M Ps are likely to turn down the Foot-
lines/a01/a01-003u/a01-003u-04.png|be that as Labour M Ps opposed the
lines/a01/a01-003u/a01-003u-05.png|Government Bill which brought life peers
lines/a01/a01-003u/a01-003u-06.png|into existence , they should not now put
lines/a01/a01-003u/a01-003u-07.png|forward nominees . He believes that the
lines/a01/a01-003u/a01-003u-08.png|House of Lords should be abolished and
lines/a01/a01-003u/a01-003u-09.png|that Labour should not take any steps
lines/a01/a01-003u/a01-003u-10.png|which would appear to  prop up  an out-
lines/a01/a01-003x/a01-003x-01.png|large majority of Labour 0M Ps are likely to turn
lines/a01/a01-003x/a01-003x-04.png|ment Bill which brought life peers into existence , they
lines/a01/a01-003x/a01-003x-05.png|should not now put forward nominees . He believes
lines/a01/a01-003x/a01-003x-06.png|that the House of Lords should be abolished and
lines/a01/a01-003x/a01-003x-07.png|that Labour should not take any steps which would
lines/a01/a01-003x/a01-003x-08.png|appear to  prop up  an out-dated institution .
